;id;extractedDecision;sumOfMoney
1159;210819;"1.2016r. do dnia zapłaty z odsetkami ustawowymi za opóźnienie;orz kwotę 212,63 zł tytułem zwrotu kosztów postępowania;2. wyrokowi nadaje rygor natychmiastowej wykonalności";212.63
1160;210837;1. zasądza od pozwanego (...) S.A. w W. na rzecz powoda T. P. kwotę 15 809,92 zł ( piętnaście tysięcy osiemset dziewięć złotych 92) wraz z odsetkami ustawowymi od kwoty 15 563, 92 zł ( piętnaście tysięcy pięćset sześćdziesiąt trzy złote 92) od dnia 21 stycznia 2013r. do dnia zapłaty oraz od kwoty 246 zł (dwieście czterdzieści sześć złotych 00) od dnia 20 września 2013r. do dnia zapłaty,2. oddala powództwo w pozostałym zakresie,3. zasądza od pozwanego (...) S.A. w W. na rzecz powoda T. P. kwotę 2 781, 56 zł ( dwa tysiące siedemset osiemdziesiąt jeden złotych 56) tytułem zwrotu kosztów procesu,4. nakazuje pozwanemu (...) S.A. w W., aby uiścił na rzecz Skarbu Państwa – Sądu Rejonowego w Kędzierzynie – Koźlu kwotę 279,72 zł ( dwieście siedemdziesiąt dziewięć złotych 72) tytułem wydatków poniesionych tymczasowo z budżetu Skarbu Państwa - Sądu Rejonowego w Kędzierzynie – Koźlu ,5. nakazuje powodowi T. P., aby uiścił na rzecz Skarbu Państwa – Sądu Rejonowego w Kędzierzynie – Koźlu kwotę 53, 28 zł ( pięćdziesiąt trzy złote 28) tytułem wydatków poniesionych tymczasowo z budżetu Skarbu Państwa - Sądu Rejonowego w Kędzierzynie – Koźlu ;18924.48
1161;210845;oddala powództwo;0
1162;210848;oddala powództwo;0
1163;214228;"1.zasądza od pozwanego (...) S.A. z siedzibą w S. na rzecz powoda R. B. kwotę 10.000,00 zł (słownie: dziesięć tysięcy złotych 00) z odsetkami ustawowymi od dnia 09.06.2011 r. do dnia zapłaty;2.zasądza od pozwanego (...) S.A. z siedzibą w S. na rzecz powoda M. B. (1) kwotę 10.000,00 zł (słownie: dziesięć tysięcy złotych 00) z odsetkami ustawowymi od dnia 09.06.2011 r. do dnia zapłaty;3. oddala powództwo w pozostałym zakresie;4.zasądza od pozwanego (...) S.A. z siedzibą w S. na rzecz powoda R. B. kwotę 907,40 zł (słownie: dziewięćset siedem złotych 40) tytułem zwrotu kosztów postępowania;5.zasądza od pozwanego (...) S.A. z siedzibą w S. na rzecz powoda M. B. (1) kwotę 907,40 zł (słownie: dziewięćset siedem złotych 40) tytułem zwrotu kosztów postępowania;6.zasądza od powoda R. B. na rzecz Skarbu Państwa (kasa tut. Sądu) kwotę 238,56 zł (słownie: dwieście trzydzieści osiem złotych 56) tytułem poniesionych tymczasowo przez Skarb Państwa (kasa tut. Sądu) kosztów sporządzenia opinii biegłego;7. zasądza od pozwanego (...) S.A. z siedzibą w S. na rzecz Skarbu Państwa (kasa tut. Sądu) kwotę 159,04 zł (słownie: sto pięćdziesiąt dziewięć złotych 04) tytułem poniesionych tymczasowo przez Skarb Państwa (kasa tut. Sądu) kosztów sporządzenia opinii biegłego";22212.400000000005
1164;146897;"1.2011 r. do dnia zapłaty- od kwoty 7.000,00 zł od dnia 07.07.2011 r. do dnia zapłaty;2. oddala powództwo wobec pozwanego Banku (...) S.A. z siedzibą w W. w pozostałym zakresie;3. zasądza od pozwanego Banku (...) S.A. z siedzibą w W. na rzecz powoda W. S. kwotę 3.067 zł (słownie: trzy tysiące sześćdziesiąt siedem złotych ) tytułem kosztów procesu, w tym kwotę 2.417 zł tytułem kosztów zastępstwa procesowego;4. oddala powództwo wobec Spółdzielni (...) w likwidacji z siedzibą w O.;5. oddala powództwo wobec (...) S.A. z siedzibą w W.;6. nakazuje ściągnąć od pozwanego Banku (...) S.A. z siedzibą w W. na rzecz Skarbu Państwa ( kasa tut. Sądu) kwotę 100,40 zł ( słownie: sto złotych 40 ) tytułem skredytowanych przez Skarb Państwa kosztów opinii biegłego sądowego oraz kwotę 300 zł ( słownie: trzysta złotych) tytułem opłaty sądowej od ponoszenia , której powód został zwolniony";5884.4
1165;145885;"1. oddala powództwo w całości,2. przyznaje pełnomocnikowi z urzędu adw. O. R. wynagrodzenie w kwocie 3.600,00 zł wraz z podatkiem VAT 23 % w kwocie 828,00 zł, łącznie kwotę 4.428,00 zł, którą nakazuje wypłacić z sum budżetowych Skarbu Państwa (kasa Sądu Rejonowego w Kędzierzynie – Koźlu);3. odstępuję od obciążenia powoda K. K. (1) kosztami zastępstwa procesowego";8856.0
1166;194320;"1. powództwo oddala;2. zasądza od powoda Ł. F. (1) na rzecz pozwanej A. K. kwotę 2.417,00 zł tytułem zwrotu kosztów procesu, w tym kwotę 2.400,00 zł tytułem zwrotu kosztów zastępstwa procesowego;3. nakazuje ściągnąć od powoda Ł. F. (1) na rzecz Skarbu Państwa (kasa Sądu Rejonowego w Kędzierzynie-Koźlu) kwotę 695,22 zł tytułem zwrotu skredytowanych kosztów czynności biegłego";5512.22
1167;217206;oddala powództwo;0
1168;217207;powództwo oddala;0
1169;217221;"1.2016r. do dnia zapłaty;2. zasądza od pozwanego (...) S.A. w W. na rzecz powoda M. W. kwotę 3 017 zł ( trzy tysiące siedemnaście złotych 00) tytułem zwrotu kosztów procesu;3. nakazuje pozwanemu (...) S.A. w W., aby uiścił na rzecz Skarbu Państwa- Sądu Rejonowego w Kędzierzynie – Koźlu kwotę 650 zł (sześćset pięćdziesiąt złotych 00) tytułem części opłaty od pozwu, od której uiszczenia zwolniony został powód;4. nakazuje Skarbowi Państwa – Sądowi Rejonowemu w Kędzierzynie – Koźlu wypłacić pozwanemu (...) S.A. w W. kwotę 212,27 zł (dwieście dwanaście złotych 27) tytułem niewykorzystanej części zaliczki uiszczonej na poczet opinii biegłego";3879.27
1170;141010;powództwo oddala;0
1171;214261;"1. zasądza od pozwanego (...) Spółka Akcyjna z siedzibą w S. na rzecz powódki G. G. kwotę 3.000,00 zł (trzy tysiące złotych 00) z ustawowymi odsetkami liczonymi od dnia 02.03.2013 r. do dnia zapłaty oraz kwotę 550,00 zł tytułem częściowego zwrotu kosztów procesu;2. obciąża strony: pozwanego (...) Spółka Akcyjna z siedzibą w S. i powódkę G. G. po połowie niezapłaconymi kosztami sądowymi w kwocie 80,63 zł i nakazuje ściągnąć na rzecz Skarbu Państwa-Sądu Rejonowego w Kędzierzynie-Koźlu od każdej ze stron kwotę 40,31 zł;3. oddala powództwo w pozostałym zakresie";3670.94
1172;146612;"1. oddala powództwo;2. odstępuje od obciążenia powoda K. S. kosztami procesu, w tym kosztami zastępstwa procesowego";0
1173;138708;"1.279,55 zł (słownie: jeden tysiąc dwieście siedemdziesiąt dziewięć złotych 55) od następujących kwot i terminów płatności do dnia zapłaty:⚫od kwoty 485,75 zł od dnia 16.05.2011 r.,⚫od kwoty 264,60 zł od dnia 16.06.2011 r.,⚫od kwoty 264,60 zł od dnia 16.07.2011 r.,⚫od kwoty 264,60 zł od dnia 26.08.2011 r.,oraz kwotę 30 zł tytułem zwrotu kosztów procesu;2. w pozostałym zakresie postępowanie umarza";30.0
1174;214265;1.2013 r. do dnia zapłaty,2. oddala powództwo w pozostałym zakresie,3. zasądza od pozwanej (...) S.A. w S. na rzecz powoda P. S. kwotę 1 787zł (jeden tysiąc siedemset osiemdziesiąt siedem złotych) tytułem zwrotu kosztów procesu,4. nakazuje Skarbowi Państwa – Sądowi Rejonowemu w Kędzierzynie-Koźlu zwrócić na rzecz powoda P. S. kwotę 330 zł (trzysta trzydzieści złotych) tytułem niewykorzystanej części zaliczki na poczet opinii biegłego sądowego ;
1175;214277;"1.526,00 zł tytułem zwrotu kosztów procesu;3. oddala powództwo w pozostałym zakresie;4. nakazuje ściągnąć na rzecz Skarbu Państwa – Sądu Rejonowego w Kędzierzynie-Koźlu tytułem niezapłaconych kosztów sądowych od pozwanego (...) S.A. w S. kwotę 804,00 zł, a od pozwanej E. W. kwotę 396,00 zł;5. ustala na przyszłość odpowiedzialność pozwanej (...) S.A. w S. wobec powódki E. W. za skutki wypadku, któremu uległa w dniu 31 marca 2013 r";1200.0
1176;217267;"1. zasądza od pozwanego Towarzystwa (...) S.A. w W. na rzecz powoda M. A. kwotę 10.971,90 zł (dziesięć tysięcy dziewięćset siedemdziesiąt jeden złotych 90) z ustawowymi odsetkami od dnia 08.12.2013r. do dnia zapłaty oraz kwotę 3.732 zł tytułem zwrotu kosztów procesu, w tym kwotę 2.400 zł tytułem zwrotu kosztów zastępstwa procesowego;2. dalej idące powództwo oddala;3. nakazuje ściągnąć od pozwanego Towarzystwa (...) S.A. w W. na rzecz Skarbu Państwa ( kasa Sądu Rejonowego w Kędzierzynie-Koźlu) kwotę 777,88 zł tytułem zwrotu skredytowanych tymczasowo kosztów czynności biegłego";17881.780000000002
1177;217205;oddala powództwo;0
1178;222373;"1. powództwo oddala;2. przyznaje kuratorowi procesowemu nieznanemu z miejsca pobytu pozwanego M. K. – adw. L. R. wynagrodzenie z tytułu pełnionej funkcji w kwocie 221,40 zł (dwieście dwadzieścia jeden złotych 40), liczonego wraz z podatkiem VAT, którą nakazuje wypłacić z zaliczek uiszczonych przez powoda do kwoty 180 zł, a w pozostałej części z sum budżetowych Skarbu Państwa (kasa Sądu Rejonowego w Kędzierzynie-Koźlu),3. nakazuje ściągnąć od powoda (...) sp. z o.o w K.na rzecz Skarbu Państwa (kasa Sądu Rejonowego w Kędzierzynie-Koźlu) kwotę 41,40 zł tytułem skredytowanych części wynagrodzenia kuratora";262.8
1179;145886;1. odnotować wyrok,2. odpis wyroku doręczyć powodowi z pouczeniem za pośrednictwem Dyrektora AŚ w K-K.,3. zwrócić akta karne do Wydziału II Karnego tut. Sądu,4. kal. 21 dni.K., dnia 30 stycznia 2013 rokusygn;0
1180;222412;1. powództwo oddala,2. zasądza od powódki D. M. na rzecz pozwanego G. S. kwotę 2 417 zł tytułem zwrotu kosztów zastępstwa procesowego;2417.0
1181;142899;1. oddala powództwo, 2. zasądza od powoda J. P. na rzecz strony pozwanej Gminy Z. – Zakładu (...) w Z. kwotę 600 zł tytułem zwrotu kosztów zastępstwa prawnego;600.0
1182;223270;I. zasądza od strony powodowej (...)Sp. z o. o. w K.na rzecz strony pozwanej Zakładu (...) Sp. z o.o.w K.kwotę 2 417 zł tytułem zwrotu kosztów procesu;2417.0
1183;223284;I. zasądza od strony pozwanej na rzecz strony powodowej kwotę 681 zł tytułem kosztów procesu;681.0
1184;225951;"I. zasądza od pozwanego D. R. na rzecz strony powodowej Kancelarii (...) S.A. w K. kwotę 128,28 zł tytułem kosztów procesu;IV. wyrokowi w punkcie I i III nadaje rygor natychmiastowej wykonalności";128.28
1185;146610;1. oddala powództwo,2. zasądza od powoda (...) Sp. z o.o. z siedzibą w O. na rzecz pozwanegoK. G. kwotę 617 zł tytułem zwrotu kosztów zastępstwa procesowego;617.0
1186;228025;powództwo oddala;0
1187;210182;"I.zasądza od pozwanego na rzecz powoda kwotę 647,- zł tytułem zwrotu kosztów postępowania, w tym 600,- zł tytułem kosztów zastępstwa procesowego;IV.poleca kasie Sądu Rejonowego w Kluczborku, aby zwróciła powodowi kwotę 30,- zł tytułem nadpłaconej opłaty sądowej";
1188;222420;1. powództwo oddala,2. zasądza od powoda (...) S.A. z siedzibą we W. na rzecz pozwanego N. R. kwotę 197,00 zł tytułem zwrotu kosztów procesu, w tym kwotę 180,00 zł tytułem zwrotu kosztów zastępstwa procesowego;377.0
1189;217282;1. oddala powództwo w stosunku do obu pozwanych, 2. zasądza od powódki B. J. na rzecz pozwanego H. K. kwotę 180 zł (sto osiemdziesiąt złotych 00) tytułem zwrotu kosztów zastępstwa prawnego;180.0
1190;138710;powództwo oddala;0
1191;139205;I. nie obciąża powódki A. K. kosztami procesu;0
1192;214284;"1.332,00 zł, które nakazuje ściągnąć na rzecz Skarbu Państwa - Sądu Rejonowego w Kędzierzynie-Koźlu;4. oddala powództwo w pozostałym zakresie";0
1193;217288;"1. powództwo oddala;2. zasądza od powoda R. H. na rzecz pozwanej A. A. kwotę 2417 zł tytułem zwrotu kosztów zastępstwa procesowego;3. zasądza od powoda R. H. na rzecz Skarbu Państwa - Sądu Rejonowego w Kędzierzynie-Koźlu kwotę 46,93 zł tytułem nieopłaconych kosztów stawiennictwa świadka";2463.93
1194;220509;"I.wstrzymuje wykonanie pkt I niniejszego wyroku do czasu złożenia pozwanemu oferty zawarcia umowy najmu lokalu socjalnego przez Gminę N.;IV. nie obciąża pozwanego kosztami postępowania w sprawie";0
1195;222355;oddala powództwo;0
1196;140574;"1.2011 r. do dnia zapłaty oraz kwotę 30 zł tytułem zwrotu kosztów procesu ;1 dalej idące powództwo oddala";30.0
1197;57492;I. zasądza od pozwanego L. Z. na rzecz strony powodowej (...)Sekurytyzacyjny Fundusz Inwestycyjny Zamknięty z siedzibą w K. kwotę 30 zł (trzydzieści złotych) tytułem kosztów opłaty sądowej, kwotę 180 zł (sto osiemdziesiąt złotych) tytułem kosztów zastępstwa procesowego oraz kwotę 17 zł (siedemnaście złotych) tytułem kosztów opłaty skarbowej od pełnomocnictwa;227.0
1198;140598;28.500,00 zł (słownie: dwadzieścia osiem tysięcy pięćset złotych) z odsetkami ustawowymi od dnia 09.07.2012 r. do dnia zapłaty oraz kwotę 4.192,00 zł tytułem zwrotu kosztów procesu, w tym kwotę 2.417,00 zł tytułem zwrotu kosztów zastępstwa procesowego;6609.0
1199;222356;oddala powództwo;0
1200;214672;"1. umarza postępowanie wobec pozwanego (...) SA z/s w G.;2. zasądza od powoda J. N. (1) na rzecz pozwanego (...) SA z/s w G. kwotę 2.417,00 zł tytułem kosztów zastępstwa procesowego;3. oddala powództwo w stosunku do pozwanego M. T.;4. zwalnia od egzekucji ładowarkę (...) Nr (...) zajętą u J. J. (1) przez Komornika Sądowego przy Sądzie Rejonowym w Kędzierzynie –Koźlu P. S. (1) w sprawach z wniosku A. K. Km 1141, z wniosku (...) sp. z o.o. z siedzibą w K. Km 1139, z wniosku (...) S.A. z siedzibą w C. Km 1264, z wniosku Przedsiębiorstwa (...) S.A. z siedzibą w K. Km 1634 w stosunku do pozwanych (...) sp. z o.o. z siedzibą w K., A. K., (...) SA z/s w C. oraz Syndyka Masy Upadłości Przedsiębiorstwa (...) S.A. w upadłości likwidacyjnej z siedzibą w K.;5. zasądza od pozwanej A. K. na rzecz powoda J. N. (1) kwotę 3.763,00 zł (słownie: trzy tysiące siedemset sześćdziesiąt trzy złote 00) tytułem zwrotu kosztów postępowania w tym kwotę 2.400,00 zł tytułem kosztów zastępstwa procesowego;6. zasądza od pozwanej (...) sp. z o.o. z siedzibą w K. na rzecz powoda J. N. (1) kwotę 3.763,00 zł (słownie: trzy tysiące siedemset sześćdziesiąt trzy złote 00) tytułem zwrotu kosztów postępowania w tym kwotę 2.400,00 zł tytułem kosztów zastępstwa procesowego;7. zasądza od pozwanej (...) S.A. z/s w C. na rzecz powoda J. N. (1) kwotę 3.763,00 zł (słownie: trzy tysiące siedemset sześćdziesiąt trzy złote 00) tytułem zwrotu kosztów postępowania w tym kwotę 2.400,00 zł tytułem kosztów zastępstwa procesowego;8. zasądza od pozwanego Syndyka Masy Upadłości Przedsiębiorstwa (...) S.A. w upadłości likwidacyjnej z siedzibą w K.- (...) sp. z o.o. z siedzibą w K. na rzecz powoda J. N. (1) kwotę 3.763,00 zł (słownie: trzy tysiące siedemset sześćdziesiąt trzy złote 00) tytułem zwrotu kosztów postępowania w tym kwotę 2.400,00 zł;9. nakazuje wypłacić adw. L.- J.R. z Kancelarii Adwokackiej w K.przy ul. (...)z zaliczki w kwocie 2.952,00 zł ( poz. 243-30-00-(...)) kwotę 2.400,00 zł ( słownie: dwa tysiące czterysta złotych) wraz z należnym podatkiem VAT 23 % w kwocie 552,00 zł ( słownie: pięćset pięćdziesiąt dwa złote ) tytułem pełnienia funkcji kuratora pozwanej A. K";32973.0
1201;143217;akt I C 357;0
1202;57493;o zapłatę;0
1203;139852;"1.03.2011 r. do dnia zapłaty,oraz kwotę 647 zł tytułem zwrotu kosztów procesu , w tym kwotę 600 zł tytułem zwrotu kosztów zastępstwa procesowego;2. dalej idące powództwo oddala;3. wyrokowi co do kwoty 200 zł nadaje rygor natychmiastowej wykonalności";1247.0
1204;143219;I. N. obowiązkiem zwrotu kosztów zastępstwa procesowego stronie przeciwnej;0
1205;57494;I. zasądza od pozwanego L. K. na rzecz powoda J. K. kwotę 80 zł (osiemdziesiąt złotych) tytułem części opłaty sądowej od pozwu;80.0
1206;140597;"1.przywraca powódce G. K. utracone przez nią wskutek naruszenia pozwanego H. W. posiadanie nieruchomości położonej w K. obejmującej część działki gruntu numer (...) przez nakazanie pozwanemu usunięcia znajdującego się tam ogrodzenia i oddanie jej w posiadanie powódki;2. oddala powództwo w pozostałym zakresie;3.zasądza od pozwanego H. W. na rzecz powódki kwotę 379,00 zł tytułem zwrotu kosztów procesu, w tym kwotę 173 zł tytułem kosztów zastępstwa procesowego;4. wyrokowi w punkcie I- szym nadaje rygor natychmiastowej wykonalności";552.0
1207;222370;1.2016r do dnia zapłaty z odsetkami ustawowymi za opóźnienie,2. w pozostałym zakresie powództwo oddala,3. koszty postępowania pomiędzy stronami wzajemnie znosi,4. zasądza od pozwanego (...) w P.na rzecz Skarbu Państwa – Sądu Rejonowego w Kędzierzynie – Koźlu kwotę 1140 zł tytułem opłaty sądowej od uwzględnionej części powództwa i 239 zł tytułem nieopłaconych kosztów opinii biegłego;1140.0
1208;57495;I. M. (2) zwrot kosztów dojazdu na rozprawę w dniu 22.11.2013 r. w kwocie 232,35 zł (dwieście trzydzieści dwa złote i trzydzieści pięć groszy) z zaliczki w kwocie 1.500 zł (jeden tysiąc pięćset złotych) wpłaconej dnia 22.01.2013 r. przez stronę pozwaną, a zapisanej pod pozycją 03,V. zwraca stronie pozwanej kwotę 66,30 zł (sześćdziesiąt sześć złotych i trzydzieści groszy) jako niewykorzystaną zaliczkę na koszt opinii biegłych;1798.6499999999999
1209;197184;I. A. kwotę 3.518,48 zł (trzy tysiące pięćset osiemnaście złotych 48) tytułem zwrotu kosztów procesu;3518.48
1210;140988;oddala powództwo;0
1211;197185;1.618,15 zł (jeden tysiąc sześćset osiemnaście złotych 15) tytułem części kosztów sądowych poniesionych tymczasowo z budżetu Skarbu Państwa – Sądu Rejonowego w Kędzierzynie – Koźlu;0
1212;57496;I. zasądza od powoda M. N. (1) na rzecz pozwanej M. N. (2) kwotę 268,25 zł (dwieście sześćdziesiąt osiem złotych dwadzieścia pięć groszy) tytułem części kosztów postępowania;268.25
1213;138709;1.234,00 zł tytułem zwrotu kosztów zastępstwa procesowego;0
1214;59422;o zapłatę;0
1215;61044;I. zasądza od pozwanej A. G. na rzecz Towarzystwa (...) Spółka Akcyjna z siedzibą w W. kwotę 30 zł (trzydzieści złotych) tytułem kosztów opłaty sądowej, kwotę 60 zł (sześćdziesiąt złotych) tytułem kosztów zastępstwa procesowego oraz kwotę 17 zł (siedemnaście złotych) tytułem kosztów opłaty skarbowej od pełnomocnictwa;107.0
1216;69077;I. przyznaje radcy prawnemu D. S. wynagrodzenie za pełnienie funkcji pełnomocnika z urzędu w kwocie 600 zł (sześćset złotych) plus należny podatek VAT oraz 206,59 zł (dwieście sześć złotych pięćdziesiąt dziewięć groszy) tytułem zwrotu kosztów i poleca jego wypłatę Skarbowi Państwa- Kasie tutejszego Sądu;600.0
1217;69079;I. zasądza od pozwanych H. T. i S. K. solidarnie na rzecz powoda A. K. kwotę 200 zł (dwieście złotych) tytułem kosztów opłaty sądowej, kwotę 156 zł (sto pięćdziesiąt sześć złotych złotych) tytułem kosztów zastępstwa procesowego oraz kwotę 17 zł (siedemnaście złotych) tytułem kosztów opłaty skarbowej od pełnomocnictwa;373.0
1218;141006;"1.zasądza od pozwanego (...) S.A. z siedzibą w W. na rzecz powódki M. S. kwotę 14.693,32 zł (słownie: czternaście tysięcy sześćset dziewięćdziesiąt trzy złote 32) wraz z odsetkami ustawowymi od dnia 25.06.2010 r. do dnia zapłaty;2. oddala powództwo w pozostałym zakresie;3. zasądza od powódki M. S. na rzecz pozwanego (...) S.A. z siedzibą w W. kwotę 3.851,29 zł tytułem zwrotu kosztów postępowania;4. nakazuje ściągnąć od powódki M. S. kwotę 765,10 zł tytułem skredytowanych przez Skarb Państwa kosztów opinii biegłego sądowego;5. nakazuje ściągnąć od pozwanego (...) S.A. z siedzibą w W. na rzecz Skarbu Państwa ( kasa tut. Sądu) kwotę 360,01 zł tytułem skredytowanych przez Skarb Państwa kosztów opinii biegłego sądowego oraz kwotę 426,60 zł tytułem opłaty sądowej, od której powódka została zwolniona";20096.319999999996
1219;69082;I. zwraca powodowi T. S. kwotę 9,61 zł (dziewięć złotych i sześćdziesiąt jeden groszy) jako niewykorzystaną zaliczkę na koszt opinii biegłego,IV. zasądza od strony pozwanej Towarzystwa (...) S.A. z siedzibą w W. na rzecz powoda T. S. kwotę 362,19 zł (trzysta sześćdziesiąt dwa złote i dziewiętnaście groszy) tytułem części poniesionych kosztów postępowania;371.8
1220;69083;I. nakazuje ściągnąć od H. N. na rzecz Skarbu Państwa Kasa tutejszego Sądu kwotę 54,24 zł (pięćdziesiąt cztery złote dwadzieścia cztery grosze) tytułem kosztów przeprowadzenia dowodu.Na oryginale właściwe podpisyZa zgodnośćZ upoważnienia Kierownika Sekretariatustarszy sekretarz sądowyJ. P.Dnia 21 maja 2015 roku Sąd Rejonowy w Nysie stwierdza, że niniejszy tytuł uprawnia do egzekucji w zakresie pkt IIi wyroku co do wierzyciela M. N. identyfikującego się numerem PESEL (...) przeciwko dłużnikowi H. N. identyfikującej się numerem PESEL (...) oraz poleca wszystkim organom, urzędom oraz osobom, których to może dotyczyć, aby postanowienia tytułu niniejszego wykonały, a gdy o to prawnie będą wezwane, udzieliły pomocy. Orzeczenie podlega wykonaniu jako prawomocne. Tytuł wykonawczy wydano wierzycielowi do rąk adw. A. B;54.24
1221;69081;I. zasądza od pozwanej D. K. na rzecz strony powodowej (...) Spółka z o.o. z siedzibą w W. kwotę 30 zł (trzydzieści złotych ) tytułem kosztów opłaty sądowej, kwotę 60 zł (sześćdziesiąt złotych) tytułem kosztów zastępstwa procesowego kwotę 17 zł (siedemnaście złotych) tytułem kosztów opłaty skarbowej od pełnomocnictwa oraz kwotę 7,50 zł (siedem złotych i pięćdziesiąt groszy) tytułem opłat pocztowych;114.5
1222;69088;I. odstępuje od zasądzenia zwrotu kosztów procesu na rzecz strony pozwanej;0
1223;141009;"I. S.i W. S. solidarnie kwotę 362,94 zł na rzecz Skarbu Państwa ( kasa tut. Sądu) tytułem skredytowanych przez Skarb Państwa kosztów opinii biegłego sądowego;8. nakazuje ściągnąć od powoda D. S. kwotę 362,94 zł na rzecz Skarbu Państwa ( kasa tut. Sądu) tytułem skredytowanych przez Skarb Państwa kosztów opinii biegłego sądowego;9. nakazuje ściągnąć od pozwanego (...) S.A. z siedzibą kwotę 390,87 zł na rzecz Skarbu Państwa ( kasa tut. Sądu) tytułem skredytowanych przez Skarb Państwa kosztów opinii biegłego sądowego";1116.75
1224;69089;I. zasądza od strony pozwanej (...) S.A z siedzibą w S. na rzecz powódki J. D. kwotę 719,44 zł (siedemset dziewiętnaście złotych i czterdzieści cztery grosze) tytułem części poniesionych kosztów postępowania,IV. nakazuje ściągnąć na rzecz Skarbu Państwa od strony pozwanej (...) S.A z siedzibą w S. kwotę 332,20 zł (trzysta trzydzieści dwa złote i dwadzieścia groszy) tytułem kosztów wynagrodzenia biegłych, a w pozostałym zakresie kosztami tymi obciąża Skarb Państwa;1051.64
1225;197188;"1. zasądza od pozwanego (...) S.A. w S. na rzecz powódki B. M. kwotę 14.000 zł (słownie: czternaście tysięcy złotych) z odsetkami ustawowymi od kwot i terminów płatności:- od kwoty 6.000 zł od dnia 26.03.2014r. do dnia zapłaty;- od kwoty 8.000 zł od dnia 05.02.2015r. do dnia zapłaty oraz kwotę 2987 zł tytułem zwrotu kosztów postępowania, w tym kwotę 2400 zł tytułem kosztów zastępstwa procesowego;2. dalej idące powództwo oddala;3. zasądza od pozwanego (...) S.A. w S. na rzecz Skarbu Państwa - Sądu Rejonowego w Kędzierzynie-Koźlu kwotę 400 zł tytułem opłaty sądowej od rozszerzonego powództwa";19787.0
1226;69090;I. zasądza od pozwanej O. S. na rzecz powoda P. L. kwotę 74,90 zł (siedemdziesiąt cztery złote i dziewięćdziesiąt groszy) tytułem części poniesionych kosztów postępowania,IV. wyrokowi nadaje rygor natychmiastowej wykonalności;74.9
1227;75052;o zapłatę;0
1228;69096;I. zasądza od pozwanej K. C. na rzecz powoda M. S. kwotę 30 zł (trzydzieści złotych) tytułem kosztów opłaty sądowej;30.0
1229;75054;I. zasądza od strony pozwanej Stowarzyszenia Miłośników (...) z siedzibą w N. na rzecz powoda M. K. kwotę 1.200 zł (jeden tysiąc dwieście złotych) tytułem kosztów zastępstwa procesowego oraz kwotę 17 zł (siedemnaście złotych ) tytułem kosztów opłaty skarbowej od pełnomocnictwa;1217.0
1230;217245;"1.077,90 zł (słownie: jeden tysiąc siedemdziesiąt siedem złotych 90) od dnia 07.05.2015 r. do dnia zapłaty;2. oddala powództwo w pozostałym zakresie;3. zasądza od pozwanego J. G. rzecz powoda S. W. (2) kwotę 3.467,00 zł (słownie: trzy tysiące czterysta sześćdziesiąt siedem złotych) tytułem kosztów postępowania, w tym kwotę 2417,00 zł tytułem kosztów zastępstwa procesowego,4. nakazuje ściągnąć od pozwanego J. G. na rzecz Skarbu Państwa ( kasa tut. Sądu) kwotę 54,00 zł (słownie: pięćdziesiąt cztery złote) tytułem nie uiszczonej opłaty sądowej od rozszerzonego powództwa";5938.0
1231;75080;I. kosztami postępowania, w całości już uiszczonymi, obciąża stronę powodową;0
1232;75062;I. zasądza od powoda A. D. na rzecz strony pozwanej Rolniczej Spółdzielni Produkcyjnej w W. kwotę 600 zł (sześćset złotych) tytułem kosztów zastępstwa procesowego oraz kwotę 17 zł (siedemnaście złotych) tytułem kosztów opłaty skarbowej od pełnomocnictwa;617.0
1233;75084;I. zasądza od pozwanego (...) S.A. z siedzibą w W. na rzecz powoda T. Z. kwotę 2.171,44 (dwa tysiące sto siedemdziesiąt jeden złotych i czterdzieści cztery grosze) tytułem zwrotu części kosztów procesu,IV. nakazuje Skarbowi Państwa kasie tut. Sądu zwrócić stronie pozwanej (...) S.A. z siedzibą w W. kwotę 231,74 zł (dwieście trzydzieści jeden złotych siedemdziesiąt cztery grosze) zaliczki zapisanej pod pozycją 3 tytułem niewykorzystanej zaliczki na opinię biegłego;
1234;75061;I. zasądza od pozwanego R. L. na rzecz powódki M. L. kwotę 200 zł (dwieście złotych) tytułem kosztów opłaty sądowej, kwotę 120 zł (sto dwadzieścia złotych) tytułem kosztów zastępstwa procesowego oraz kwotę 34 zł (trzydzieści cztery złote) tytułem opłat skarbowych od pełnomocnictw;354.0
1235;75082;I. zasądza od pozwanej M. K. na rzecz strony powodowej (...) S.A. w W. kwotę 711,90 zł (siedemset jedenaście złotych) tytułem części poniesionych kosztów postępowania,IV. przyznaje wynagrodzenie kuratorowi dla nieznanej z miejsca pobytu pozwanej – D. L. w kwocie 300 zł (trzysta złotych)V. wyrokowi nadaje rygor natychmiastowej wykonalności;1011.9
1236;75089;I. zasądza od pozwanego A. M. na rzecz strony powodowej (...) S.A. w W. kwotę 609,45 zł (sześćset dziewięć złotych i czterdzieści pięć groszy) tytułem części poniesionych kosztów postępowania,IV. wyrokowi nadaje rygor natychmiastowej wykonalności;609.45
1237;75085;przeciwko J. M;0
